              Unnamed: 0 Unnamed: 1 Unnamed: 2 Unnamed: 3 Unnamed: 4 Unnamed: 5 Unnamed: 6 Unnamed: 7 Unnamed: 8 Unnamed: 9 Unnamed: 10        2 Unnamed: 12 Unnamed: 13 Unnamed: 14 Unnamed: 15 Unnamed: 16      Open Unnamed: 18     Daily Unnamed: 20 Unnamed: 21 Unnamed: 22 Unnamed: 23 Unnamed: 24 Unnamed: 25 Unnamed: 26 Unnamed: 27
15           Date/Symbol        UUP        FXE        FXF        FXY        FXA        FXC        FXB       USDU        UDN         CYB      CEW        EUFX         GLD         SLV         BNO         PCX  DX-Y.NYB    EURUSD=X  GBPUSD=X    CHFUSD=X    AUDUSD=X    USDZAR=X    CNYUSD=X    CADUSD=X    RUBUSD=X    NZDUSD=X    JPYUSD=X
256  2015-05-18 00:00:00    24.4971     108.14     102.99      79.91    75.1082    79.7907     151.82    25.3505    21.3615      24.867  17.9907        43.6       115.6       16.34       23.59        3.16     96.01     1.10141   1.54909     1.06728    0.790202      11.841     0.16136      0.8142   0.0200361    0.732977  0.00822998
257  2015-05-25 00:00:00    24.6715     107.91     103.49      78.25    73.4767    78.8826     149.96    25.6307    21.2253     24.8864   17.721       43.77       114.1       15.99       23.55        3.15     96.91     1.09603   1.53191     1.06045    0.765814     12.1276     0.16152    0.804823   0.0190367    0.718339  0.00807624
258  2015-06-01 00:00:00    24.5164     109.13     103.42      77.29    73.1888    78.8727     149.77    25.6036    21.3518     24.8864  17.4803        43.2      112.24       15.39       22.74       43.49     96.31     1.12079    1.5365     1.06998    0.768817     12.3725    0.161522    0.800384    0.017745    0.712809  0.00803988
259  2015-06-08 00:00:00    24.1191     110.53     104.59      78.71    74.3183     79.692     152.43    25.2692    21.6533     24.8961  17.6055       42.62      113.23       15.25       22.96        3.18     94.97     1.12406   1.55089     1.07078    0.774887     12.3327    0.161379    0.813471    0.018287    0.701607  0.00809186
260  2015-06-15 00:00:00    23.9156     111.41     105.99      79.17    74.6931    79.9486     155.66    25.0432    21.8479     24.8961  17.7403       42.29      115.12       15.42       22.38        3.23     94.09     1.13707   1.58788     1.08542    0.778998     12.2449    0.161345    0.817795   0.0187829    0.691898  0.00812995
261  2015-06-22 00:00:00    24.2257      109.7     103.95      78.42    73.6074    79.6624     154.37    25.4047    21.5561     24.7992  17.6247       42.98      112.56       15.11       22.48        3.22     95.47      1.1203   1.57451     1.06777    0.773395     12.0974    0.161306    0.810892   0.0182889    0.688753  0.00809075
262  2015-06-29 00:00:00    24.3905     108.81     102.95      78.91    73.2999    78.2114     153.04    25.4951    21.4004     24.8573  17.5958       43.19      111.76       14.95       22.02        3.22     95.95      1.1087    1.5613        1.06    0.763884     12.2515    0.161428    0.797194   0.0180219    0.672314  0.00812618
263  2015-07-06 00:00:00    24.3226     109.41      103.3      79.03    71.6168    77.3428     152.14    25.5313    21.4588     24.8767  17.5092          43      111.49       14.88       20.81        3.22     96.03      1.1063    1.5374     1.05496    0.746102     12.4889    0.161322    0.786807   0.0174766    0.674809  0.00821693
264  2015-07-13 00:00:00    24.8265     106.47     101.04      78.27    71.0493    75.5662     153.24    25.9379    21.0113     24.8961   17.384       44.14      108.65       14.23       20.14         3.2     97.86      1.0886    1.5613     1.04482     0.74151     12.3899    0.161303    0.771123     0.01756    0.652486  0.00805484
265  2015-07-20 00:00:00    24.6618     107.75     100.84      78.41     70.174    75.2405     152.03    25.9651    21.1475     24.8767  17.0661       43.59      105.35       14.02        19.3         3.2     97.24      1.0989   1.55195     1.04243    0.735619     12.4382    0.161303    0.768138   0.0172919    0.661901  0.00807259
266  2015-07-27 00:00:00    24.6424     107.79     100.46      78.32    70.3952    74.9839     153.12    25.9379     21.167     24.8573  16.9602       43.51      104.93       14.08       18.28        3.18     97.37     1.09392   1.56043     1.03274    0.729448     12.6926    0.161298      0.7689   0.0167573    0.660808   0.0080599
267  2015-08-03 00:00:00    24.7296     107.52      98.57      78.16    71.2609     74.668     151.79    26.0012    21.0794     24.8767  16.7868       43.62      104.65       14.11       17.15        3.19     97.56     1.09271   1.55142     1.01938    0.734538     12.7066    0.161298     0.76259   0.0155087    0.654407  0.00801706
268  2015-08-10 00:00:00    24.4583     108.96       99.3      78.09    71.0212    74.9345     153.41    25.9018    21.3129     23.8208  16.6038          43      106.85       14.55       16.95        3.18     96.57      1.1161   1.56179     1.02522    0.737517     12.7888    0.156521    0.765404   0.0154986    0.655996  0.00804098
269  2015-08-17 00:00:00    24.0319      111.5     102.27      79.49    70.6649    74.4509     153.85     25.712     21.702     23.8014  16.3245       42.09      111.13       14.61       15.82        3.19     94.83      1.1237    1.5691     1.04264     0.73373     12.9322    0.156764    0.764725   0.0146778    0.662339  0.00810241
